C122;45.643055;12.446944
C123;45.604443;12.232778
C124;45.681667;11.998889
C125;45.726112;11.968611
C126;45.807777;11.912500
C127;45.952778;11.812500
C128;46.466667;13.250000
C129;46.581665;12.511666
C130;46.336945;11.833889
C131;43.938610;12.967222
C132;43.801666;13.529722
C133;44.900002;12.666667
C134;44.900002;12.340278
C63;46.032776;11.816112
C64;46.133335;12.600000
C65;46.314445;13.248055
C66;46.266109;11.640278
C67;45.659168;11.852777
C68;46.581665;12.511666
C69;46.466667;13.250000
C70;45.844444;13.241667
C71;45.416668;13.000000
C72;45.166668;13.000000
C73;44.533333;13.333333
C74;43.979168;13.950000
C76;43.833332;13.766666
C77;43.833332;13.300000
C78;43.990555;12.400833
C79;44.240555;12.010000
C95;44.706944;12.215278
C96;44.266666;11.933333
C97;44.525555;11.877500
C98;44.704723;12.034722
C99;44.004444;11.980556
DUMM1;45.262779;12.995556
S0000;41.651943;14.142500
S0001;41.651943;9.763056
S0002;41.651943;16.312500
S0003;42.257500;13.664444
S0004;42.874168;13.115278
S0005;43.049721;12.686111
S0006;41.651943;8.113055
S0007;43.070000;13.328611
S0008;43.149166;14.158611
S0009;43.156666;13.738334
S0010;43.194721;14.746667
S0011;43.463055;11.853056
S0012;43.567223;14.441944
S0013;43.603054;11.495556
S0014;43.665001;10.372778
S0015;43.684723;11.642222
S0016;43.688057;11.405000
S0017;43.701111;8.113055
S0018;43.829445;11.209444
S0019;44.020557;11.008889
S0020;44.225834;13.693055
S0021;44.533611;13.333611
S0022;44.551388;11.643888
S0023;44.779446;12.513333
S0024;44.781666;12.371111
S0025;44.783611;12.945278
S0026;44.783611;13.200000
S0027;44.855835;11.705833
S0028;44.893612;11.802500
S0029;44.933334;11.900278
S0030;44.983055;13.102222
S0031;45.095276;10.111667
S0032;45.108334;16.312500
S0033;45.166668;11.300000
S0034;45.190556;10.812778
S0035;45.205555;10.549167
S0036;45.217499;13.006945
S0037;45.248890;13.070278
S0038;45.302776;9.995277
S0039;45.338055;12.819445
S0040;45.386944;13.471389
S0041;45.464722;10.020833
S0042;45.639721;10.623055
S0043;45.643055;8.113055
S0044;45.768890;10.511389
S0045;45.855556;13.615000
S0046;45.931667;10.954166
S0047;45.955555;12.251389
S0048;46.035000;10.265278
S0049;46.073612;8.686111
S0050;46.221390;13.493333
S0051;46.283890;10.000000
S0052;46.366112;8.113055
S0053;46.453609;10.038333
S0054;46.498611;13.267500
S0055;46.570835;10.470000
S0056;46.709721;12.583333
S0057;46.690556;10.511666
S0058;46.772221;16.312500
S0059;46.832222;10.112778
S0060;46.983334;11.385555
S0061;47.028889;11.874166
S0062;47.032501;11.553333
S0063;47.036945;11.720278
S0064;46.862778;10.594722
S0065;47.093887;9.528055
S0066;46.993332;10.751111
S0067;47.976665;16.312500
S0068;48.301666;16.312500
S0069;48.301666;8.113055
S0070;48.301666;9.516389
STCA1;45.950001;9.350000
STCA2;43.500000;11.241667
STCA3;42.625000;13.466666
STCA4;43.150002;15.150000
STCA5;45.000000;13.608334
STCA6;46.891666;13.775000
STCA7;47.500000;10.675000
SWCE1;48.301666;8.113055
SWCE2;48.304443;16.312500
SWCE3;41.651943;16.312500
SWCE4;41.651943;8.113055
DTMB;35.758057;10.754723
DTTA;36.851112;10.226944
EBBR;50.902222;4.486111
EBLG;50.636391;5.442778
EDDB;52.378613;13.520555
EDDE;50.979721;10.958055
EDDF;50.033333;8.570556
EDDG;52.134724;7.684722
EDDH;53.630280;9.988334
EDDK;50.865833;7.142778
EDDL;51.280834;6.757222
EDDM;48.353889;11.786111
EDDN;49.498611;11.077778
EDDT;52.559723;13.287778
EDDV;52.460278;9.683611
EDFH;49.948612;7.263889
EDLW;51.518333;7.612222
EDMO;48.083057;11.283334
EDNY;47.671391;9.511389
EDRZ;49.209446;7.401111
EFHK;60.316944;24.966389
EGCC;53.353611;-2.275000
